# ----------------------------------------
# jason
# Location
# 20120317-20120317
# ----------------------------------------

City,Visits,Pages/Visit,Avg. Visit Duration,% New Visits,Bounce Rate
Syracuse,3,2.67,00:00:44,66.67%,0.00%
(not set),1,8.00,00:01:50,100.00%,0.00%
Albany,1,1.00,00:00:00,100.00%,100.00%
Batavia,1,4.00,00:01:26,100.00%,0.00%
Bowmansville,1,3.00,00:00:08,100.00%,0.00%
Buffalo,1,1.00,00:00:00,100.00%,100.00%
Canandaigua,1,1.00,00:00:00,100.00%,100.00%
East Syracuse,1,1.00,00:00:00,0.00%,100.00%
Franklin Square,1,1.00,00:00:00,100.00%,100.00%
Geneseo,1,2.00,00:00:21,100.00%,0.00%
,18,2.39,00:00:27,83.33%,55.56%

