# ----------------------------------------
# jason
# Location
# 20120325-20120325
# ----------------------------------------

City,Visits,Pages/Visit,Avg. Visit Duration,% New Visits,Bounce Rate
Syracuse,20,19.15,00:35:51,5.00%,5.00%
Glendale,1,1.00,00:00:00,100.00%,100.00%
North Metro,1,8.00,00:01:55,100.00%,0.00%
Lebanon,1,9.00,00:02:57,100.00%,0.00%
Albany,1,1.00,00:00:00,100.00%,100.00%
Baldwinsville,1,3.00,00:00:33,100.00%,0.00%
Buffalo,1,4.00,00:00:09,100.00%,0.00%
Cicero,1,1.00,00:00:00,100.00%,100.00%
Corning,1,1.00,00:00:00,100.00%,100.00%
Ft Drum,1,1.00,00:00:00,100.00%,100.00%
,38,11.13,00:19:04,47.37%,34.21%

