# ----------------------------------------
# jason
# Location
# 20120401-20120401
# ----------------------------------------

City,Visits,Pages/Visit,Avg. Visit Duration,% New Visits,Bounce Rate
Syracuse,6,6.67,00:06:59,0.00%,33.33%
Makati,1,9.00,00:02:37,100.00%,0.00%
Trumbull,1,1.00,00:00:00,100.00%,100.00%
Buffalo,1,1.00,00:00:00,100.00%,100.00%
North Greece,1,1.00,00:00:00,100.00%,100.00%
Pittsford,1,1.00,00:00:00,100.00%,100.00%
Tully,1,1.00,00:00:00,100.00%,100.00%
,12,4.50,00:03:42,50.00%,58.33%

