# ----------------------------------------
# jason
# Location
# 20120331-20120331
# ----------------------------------------

City,Visits,Pages/Visit,Avg. Visit Duration,% New Visits,Bounce Rate
Boonville,2,1.00,00:00:00,50.00%,100.00%
Batavia,1,8.00,00:03:55,0.00%,0.00%
East Syracuse,1,1.00,00:00:00,0.00%,100.00%
Liverpool,1,1.00,00:00:00,100.00%,100.00%
Rochester,1,1.00,00:00:00,100.00%,100.00%
Troy,1,1.00,00:00:00,100.00%,100.00%
Utica,1,3.00,00:00:24,100.00%,0.00%
,8,2.12,00:00:32,62.50%,75.00%

