# ----------------------------------------
# jason
# Location
# 20120310-20120310
# ----------------------------------------

City,Visits,Pages/Visit,Avg. Visit Duration,% New Visits,Bounce Rate
East Syracuse,4,6.00,00:02:43,25.00%,0.00%
New York,4,1.25,00:00:11,75.00%,75.00%
Syracuse,3,4.67,00:02:23,100.00%,33.33%
Fulton,2,1.00,00:00:00,0.00%,100.00%
Oldsmar,1,1.00,00:00:00,100.00%,100.00%
Orlando,1,2.00,00:00:13,100.00%,0.00%
Cambridge,1,1.00,00:00:00,100.00%,100.00%
Camillus,1,1.00,00:00:00,100.00%,100.00%
Franklin Square,1,2.00,00:00:05,100.00%,0.00%
Herkimer,1,1.00,00:00:00,100.00%,100.00%
,24,2.42,00:00:48,70.83%,62.50%

