# ----------------------------------------
# jason
# Location
# 20120313-20120313
# ----------------------------------------

City,Visits,Pages/Visit,Avg. Visit Duration,% New Visits,Bounce Rate
Syracuse,7,3.29,00:00:11,85.71%,42.86%
Weedsport,4,4.25,00:11:18,50.00%,50.00%
Tempe,2,2.50,00:00:15,100.00%,50.00%
New York,2,1.00,00:00:00,100.00%,100.00%
Torrington,1,2.00,00:02:11,100.00%,0.00%
Atlanta,1,1.00,00:00:00,100.00%,100.00%
Twin Falls,1,1.00,00:00:00,100.00%,100.00%
Chicago,1,1.00,00:00:00,100.00%,100.00%
Bowling Green,1,1.00,00:00:00,100.00%,100.00%
South Yarmouth,1,1.00,00:00:00,100.00%,100.00%
,37,2.08,00:01:25,83.78%,70.27%

