# ----------------------------------------
# jason
# Location
# 20120308-20120308
# ----------------------------------------

City,Visits,Pages/Visit,Avg. Visit Duration,% New Visits,Bounce Rate
Oswego,5,2.40,00:07:49,20.00%,60.00%
Weedsport,4,2.50,00:11:04,25.00%,0.00%
Fulton,3,1.67,00:00:04,0.00%,66.67%
Plainville,1,1.00,00:00:00,0.00%,100.00%
Syracuse,1,16.00,00:01:18,100.00%,0.00%
,14,3.14,00:06:04,21.43%,42.86%

