# ----------------------------------------
# jason
# Location
# 20120404-20120404
# ----------------------------------------

City,Visits,Pages/Visit,Avg. Visit Duration, New Visits,Bounce Rate
Syracuse,3,2.00,00:00:04,100.00,66.67,
Baldwinsville,1,2.00,00:00:11,0.00,0.00,
Buffalo,1,1.00,00:00:00,100.00,100.00,
Getzville,1,1.00,00:00:00,100.00,100.00,
Lyons,1,1.00,00:00:00,100.00,100.00,
Massapequa,1,1.00,00:00:00,100.00,100.00,
Oneida,1,1.00,00:00:00,100.00,100.00,
West Copake,1,1.00,00:00:00,100.00,100.00,
,10,1.40,00:00:02,90.00,80.00

