# ----------------------------------------
# jason
# Location
# 20120406-20120406
# ----------------------------------------

City,Visits,Pages/Visit,Avg. Visit Duration, New Visits,Bounce Rate
Brockport,1,1.00,00:00:00,100.00,100.00,
Canandaigua,1,1.00,00:00:00,100.00,100.00,
Candor,1,1.00,00:00:00,100.00,100.00,
Cortland,1,5.00,00:05:06,100.00,0.00,
Geneseo,1,1.00,00:00:00,100.00,100.00,
Glens Falls,1,1.00,00:00:00,100.00,100.00,
Norwich,1,1.00,00:00:00,100.00,100.00,
Orchard Park,1,1.00,00:00:00,100.00,100.00,
Skaneateles,1,3.00,00:00:43,100.00,0.00,
Webster,1,1.00,00:00:00,100.00,100.00,
,11,1.55,00:00:32,100.00,81.82

