# ----------------------------------------
# jason
# Location
# 20120316-20120316
# ----------------------------------------

City,Visits,Pages/Visit,Avg. Visit Duration, New Visits,Bounce Rate
Syracuse,19,23.37,00:29:17,0.00,15.79,
Weedsport,3,6.67,00:04:46,33.33,33.33,
(not set),2,1.00,00:00:00,100.00,100.00,
Montgomery,1,3.00,00:00:14,100.00,0.00,
Agawam,1,1.00,00:00:00,100.00,100.00,
Buffalo,1,10.00,00:04:02,100.00,0.00,
East Aurora,1,1.00,00:00:00,100.00,100.00,
East Syracuse,1,1.00,00:00:00,0.00,100.00,
Getzville,1,2.00,00:00:37,100.00,0.00,
Jamestown,1,1.00,00:00:00,100.00,100.00,
,35,14.06,00:16:34,34.29,37.14

