# ----------------------------------------
# jason
# Location
# 20120408-20120408
# ----------------------------------------

City,Visits,Pages/Visit,Avg. Visit Duration, New Visits,Bounce Rate
Kuala Lumpur,1,9.00,00:02:50,100.00,0.00,
Albany,1,1.00,00:00:00,100.00,100.00,
Baldwinsville,1,5.00,00:01:18,0.00,0.00,
Ballston Lake,1,3.00,00:00:20,100.00,0.00,
Bath,1,2.00,00:00:15,100.00,0.00,
Cicero,1,1.00,00:00:00,100.00,100.00,
Cobleskill,1,1.00,00:00:00,100.00,100.00,
East Aurora,1,1.00,00:00:00,100.00,100.00,
East Syracuse,1,10.00,00:03:14,0.00,0.00,
Ilion,1,1.00,00:00:00,100.00,100.00,
,17,2.59,00:00:34,88.24,64.71

