# ----------------------------------------
# jason
# Location
# 20120407-20120407
# ----------------------------------------

City,Visits,Pages/Visit,Avg. Visit Duration, New Visits,Bounce Rate
Albany,2,1.00,00:00:00,100.00,100.00,
Cicero,2,1.50,00:00:05,100.00,50.00,
Syracuse,2,1.00,00:00:00,100.00,100.00,
(not set),1,9.00,00:02:10,100.00,0.00,
Makati,1,9.00,00:02:33,100.00,0.00,
Washington,1,1.00,00:00:00,0.00,100.00,
Harper Woods,1,7.00,00:02:52,100.00,0.00,
Binghamton,1,1.00,00:00:00,100.00,100.00,
Dunkirk,1,1.00,00:00:00,100.00,100.00,
Fairport,1,1.00,00:00:00,100.00,100.00,
,21,2.29,00:00:23,95.24,76.19

