# ----------------------------------------
# jason
# Location
# 20120314-20120314
# ----------------------------------------

City,Visits,Pages/Visit,Avg. Visit Duration, New Visits,Bounce Rate
Weedsport,15,4.73,00:10:35,40.00,33.33,
Syracuse,14,7.00,00:11:30,35.71,21.43,
Plano,3,1.33,00:00:05,100.00,66.67,
Oneida,2,1.00,00:00:00,50.00,100.00,
(not set),1,1.00,00:00:00,100.00,100.00,
Richmond,1,1.00,00:00:00,100.00,100.00,
Phoenix,1,1.00,00:00:00,100.00,100.00,
Torrington,1,1.00,00:00:00,0.00,100.00,
Atlanta,1,1.00,00:00:00,100.00,100.00,
Iola,1,2.00,00:00:48,100.00,0.00,
,52,4.10,00:06:26,61.54,42.31

