# ----------------------------------------
# jason
# Location
# 20120326-20120326
# ----------------------------------------

City,Visits,Pages/Visit,Avg. Visit Duration, New Visits,Bounce Rate
Syracuse,11,14.27,00:14:34,9.09,0.00,
New Delhi,1,1.00,00:00:00,100.00,100.00,
Buffalo,1,2.00,00:00:01,100.00,0.00,
Oswego,1,20.00,00:24:33,0.00,0.00,
Rochester,1,1.00,00:00:00,100.00,100.00,
Schenectady,1,1.00,00:00:00,100.00,100.00,
Watertown,1,1.00,00:00:00,100.00,100.00,
Wellsboro,1,3.00,00:00:55,100.00,0.00,
Arlington,1,1.00,00:00:00,0.00,100.00,
,19,9.84,00:09:47,36.84,26.32

