# ----------------------------------------
# jason
# Location
# 20120321-20120321
# ----------------------------------------

City,Visits,Pages/Visit,Avg. Visit Duration, New Visits,Bounce Rate
Buffalo,5,2.00,00:00:36,100.00,40.00,
Weedsport,5,5.20,00:01:21,20.00,20.00,
East Syracuse,2,8.50,00:04:43,0.00,0.00,
Hicksville,2,2.00,00:00:17,100.00,0.00,
New York,2,4.00,00:01:39,100.00,0.00,
Syracuse,2,2.00,00:00:58,100.00,50.00,
Danbury,1,2.00,00:00:49,100.00,0.00,
Springfield,1,3.00,00:00:06,100.00,0.00,
Baldwinsville,1,4.00,00:05:13,0.00,0.00,
Broadalbin,1,1.00,00:00:00,100.00,100.00,
,29,3.07,00:01:12,75.86,31.03

