# ----------------------------------------
# jason
# Location
# 20120323-20120323
# ----------------------------------------

City,Visits,Pages/Visit,Avg. Visit Duration, New Visits,Bounce Rate
Syracuse,3,3.33,00:01:36,66.67,66.67,
Springfield,2,2.00,00:00:29,100.00,0.00,
Buffalo,2,3.50,00:00:17,100.00,0.00,
Rochester,2,4.50,00:02:58,100.00,0.00,
Easthampton,1,2.00,00:00:17,100.00,0.00,
Brimley,1,8.00,00:02:22,100.00,0.00,
Akron,1,1.00,00:00:00,100.00,100.00,
Amsterdam,1,1.00,00:00:00,100.00,100.00,
Avon,1,1.00,00:00:00,100.00,100.00,
Boonville,1,1.00,00:00:00,100.00,100.00,
,27,2.70,00:01:25,92.59,44.44

