# ----------------------------------------
# jason
# Location
# 20120329-20120329
# ----------------------------------------

City,Visits,Pages/Visit,Avg. Visit Duration, New Visits,Bounce Rate
(not set),1,9.00,00:02:49,100.00,0.00,
Niagara Falls,1,1.00,00:00:00,100.00,100.00,
Gaithersburg,1,9.00,00:03:01,100.00,0.00,
Binghamton,1,1.00,00:00:00,100.00,100.00,
Buffalo,1,1.00,00:00:00,100.00,100.00,
Getzville,1,2.00,00:00:03,100.00,0.00,
North Greece,1,1.00,00:00:00,100.00,100.00,
Penfield,1,1.00,00:00:00,100.00,100.00,
Syracuse,1,1.00,00:00:00,0.00,100.00,
,9,2.89,00:00:39,88.89,66.67

